question_type,hardness_level,question_en,option_en1,option_en2,option_en3,option_en4,solution_en,question_hi,option_hi1,option_hi2,option_hi3,option_hi4,solution_hi,correct_option
Single,easy,What is GAC?,Garbage collector,Global assembly collector,Global assembly cache,Global access cache,Global assembly cache,,,,,,,option3
Single,easy,Syntax for closing and opening the connection in ADO.net is,sqlConn.Open() and sqlConn.close(),sqlConn.Open() and sqlConn.Close(),sqlConn.open() and sqlConn.Close(),none,sqlConn.Open() and sqlConn.Close(),,,,,,,option2
Single,easy,Which attributes can be used for data validation in MVC,Fluent API,HtmlHelper,DataAnnotations,DataModel,DataAnnotations,,,,,,,option3
Single,easy,What does the access modifier do in C#?,To maintain the syntax,To define a variable inside the class,To control the visibility of class members,To access the variables defined inside the class,To control the visibility of class members,,,,,,,option2
Single,easy,Which of the following is true for ADO.NET DataSet?,Dataset enables to store data from multiple tables and multiple sources,We can create a relationship between the tables in a DataSet.,All options,DataSet provides a disconnected view of a data source,All options,,,,,,,option3
Single,easy,Choose the correct statement(s) about 'ref keyword used in C#.NET are?,Ref usage eliminates overhead of copying large data items,The ref keyword causes arguments to be passed by reference,All options,While using 'ref keyword any changes made to the parameter in the method will be reflected in the variable when control is passed back to the calling method,All options,,,,,,,option3
Single,easy,Which object is used to fill a DataSet/DataTable with query results in ADO.net.,DataTables,DataAdapter,DataReader,Dataset,DataAdapter,,,,,,,option2
Single,easy,The namespace required for making use of LINQ operations?,System.Linq,System.Collections.Generic,System.Text,None,System.Linq,,,,,,,option1
Single,easy,Which of the following is not a valid state management tool?,Querystate,Application state,Cookies,Hidden form field,Querystate,,,,,,,option1
Single,easy,Which is the way to render Partial View using ASP.Net MVC Razor Engine?," @Html.Partial(""_PartialHeader"")"," @Html.PartialView(""_PartialHeader"") & @Html.PartialHtml(""_PartialHeader"")"," @Html.PartialView(""_PartialHeader"")"," @Html.PartialHtml(""_PartialHeader"")"," @Html.Partial(""_PartialHeader"")",,,,,,,option1
